Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
230.0,9.0,9.0,0.04842487141879041
231.0,10.0,10.0,0.048080599125177405
232.0,8.0,8.0,0.047807403495945464
233.0,10.0,10.0,0.047468663481041035
234.0,10.0,10.0,0.04713295844836463
235.0,9.0,9.0,0.04683339634928811
236.0,9.0,9.0,0.04653625090255909
237.0,23.0,23.0,0.045787724485112855
238.0,10.0,10.0,0.045467080029145845
239.0,11.0,11.0,0.045117688279669665
240.0,10.0,10.0,0.04480304709431188
241.0,10.0,10.0,0.044491224974797364
242.0,10.0,10.0,0.04418219666336391
243.0,10.0,10.0,0.043875937128549376
244.0,8.0,8.0,0.04363290634194767
245.0,10.0,10.0,0.04333156824035675
246.0,10.0,10.0,0.043032930014017375
247.0,10.0,10.0,0.04273696747306994
248.0,10.0,10.0,0.04244365664438679
249.0,8.0,8.0,0.04221090124150008
250.0,10.0,10.0,0.041922303766992186
251.0,10.0,10.0,0.04163629201654298
252.0,9.0,9.0,0.04138107308329663
253.0,10.0,10.0,0.04109991055476984
254.0,10.0,10.0,0.04082126713600189
255.0,10.0,10.0,0.04054512025672355
256.0,10.0,10.0,0.0402714475488866
257.0,9.0,9.0,0.04002723920275013
258.0,10.0,10.0,0.039758206512997475
259.0,10.0,10.0,0.03949158425424271
260.0,9.0,9.0,0.039253667286313056
261.0,9.0,9.0,0.039017669661988046
262.0,11.0,11.0,0.038731812062191485
263.0,11.0,11.0,0.03844877049029494
264.0,10.0,10.0,0.03819388028232473
265.0,8.0,8.0,0.03799161337893646
266.0,9.0,9.0,0.03776579710114129
267.0,10.0,10.0,0.0375170260760461
268.0,10.0,10.0,0.03727048394510805
269.0,9.0,9.0,0.03705048522281963
270.0,9.0,9.0,0.03683226129257034
271.0,10.0,10.0,0.0365918543947219
272.0,11.0,11.0,0.03632989388031945
273.0,8.0,8.0,0.036140999480244525
274.0,9.0,9.0,0.035930112629223764
275.0,10.0,10.0,0.03569778864168946
276.0,11.0,11.0,0.035444635708777844
277.0,10.0,10.0,0.03521666141056524
278.0,11.0,11.0,0.03496824813721582
279.0,8.0,8.0,0.034789122377186586
280.0,10.0,10.0,0.03456702123013436
281.0,10.0,10.0,0.03434691002523384
282.0,10.0,10.0,0.03412877093335706
283.0,9.0,9.0,0.033934117300278406
284.0,9.0,9.0,0.033741033993221564
285.0,10.0,10.0,0.0335283233211022
286.0,10.0,10.0,0.033317518456036
287.0,10.0,10.0,0.03310860232271362
288.0,8.0,8.0,0.0329428179260062
289.0,10.0,10.0,0.0327372589675065
290.0,10.0,10.0,0.032533541739414785
291.0,9.0,9.0,0.03235175727232273
292.0,9.0,9.0,0.03217143931204342
293.0,10.0,10.0,0.03197279161374751
294.0,11.0,11.0,0.03175633420883867
295.0,13.0,13.0,0.031503268420299615
296.0,10.0,10.0,0.03131060728010872
297.0,10.0,10.0,0.03111967231075912
298.0,8.0,8.0,0.03096815678057683
299.0,10.0,10.0,0.030780290037992077
300.0,10.0,10.0,0.030594106510262037
301.0,18.0,18.0,0.030263169809624943
302.0,11.0,11.0,0.030063554156351542
303.0,10.0,10.0,0.0298837923106409
304.0,11.0,11.0,0.029687913964413157
305.0,9.0,9.0,0.02952908598301711
306.0,11.0,11.0,0.029336701904269444
307.0,11.0,11.0,0.029146213031154423
308.0,10.0,10.0,0.028974670214461602
309.0,10.0,10.0,0.028804664356430573
310.0,9.0,9.0,0.028652961799930134
311.0,10.0,10.0,0.028485838327438895
312.0,9.0,9.0,0.028336707830867842
313.0,10.0,10.0,0.028172417874150972
314.0,9.0,9.0,0.02802581582919822
315.0,9.0,9.0,0.027880396464488283
316.0,9.0,9.0,0.02773615023900451
317.0,10.0,10.0,0.027577241050835817
318.0,11.0,11.0,0.02740408490162169
319.0,10.0,10.0,0.02724815089309858
320.0,10.0,10.0,0.027093613994228265
321.0,10.0,10.0,0.026940461687437453
322.0,9.0,9.0,0.02680379818217242
323.0,10.0,10.0,0.026653242515283254
324.0,9.0,9.0,0.026518896088476317
325.0,12.0,12.0,0.026341451933909257
326.0,9.0,9.0,0.026209620810081977
327.0,10.0,10.0,0.02606438874738845
328.0,9.0,9.0,0.025934792770805
329.0,9.0,9.0,0.025806242281691427
330.0,10.0,10.0,0.025664624337823433
331.0,11.0,11.0,0.025510309674823782
332.0,12.0,12.0,0.025343699643948767
333.0,9.0,9.0,0.025219917670602037
334.0,9.0,9.0,0.025097134281513403
335.0,9.0,9.0,0.024975341420820692
336.0,9.0,9.0,0.02485453109765061
337.0,9.0,9.0,0.02473469538559451
338.0,10.0,10.0,0.024602678096042635
339.0,10.0,10.0,0.02447184363140058
340.0,9.0,9.0,0.024355095167586216
341.0,10.0,10.0,0.024226478952205442
342.0,10.0,10.0,0.024099015089398136
343.0,10.0,10.0,0.023972693254521726
344.0,9.0,9.0,0.023859971578254077
345.0,10.0,10.0,0.023735791482694318
346.0,9.0,9.0,0.023624980960156645
347.0,10.0,10.0,0.023502906291526977
348.0,10.0,10.0,0.023381925365689643
349.0,10.0,10.0,0.023262028383123523
350.0,9.0,9.0,0.023155039841771908
351.0,11.0,11.0,0.023025447487933684
352.0,8.0,8.0,0.02293200107678883
353.0,8.0,8.0,0.022839225063475906
354.0,10.0,10.0,0.02272419047005747
355.0,9.0,9.0,0.022621540819570816
356.0,9.0,9.0,0.02251971927290499
357.0,9.0,9.0,0.022418719149511778
358.0,10.0,10.0,0.022307452129806213
359.0,8.0,8.0,0.022219156719384965
360.0,10.0,10.0,0.02210967770346451
361.0,10.0,10.0,0.022001179578059006
362.0,10.0,10.0,0.021893653554761
363.0,10.0,10.0,0.021787090923903792
364.0,10.0,10.0,0.021681483053856032
365.0,10.0,10.0,0.021576821390322506
366.0,10.0,10.0,0.021473097455651236
367.0,10.0,10.0,0.021370302848146817
368.0,10.0,10.0,0.021268429241389813
369.0,9.0,9.0,0.021177523629289458
370.0,9.0,9.0,0.021087351378524043
