episode,reward,epsilon,loss
370,8.0,0.05,34556991209472.0
371,8.0,0.05,38417970241536.0
372,9.0,0.05,3720655259420.4443
373,8.0,0.05,7837749297152.0
374,8.0,0.05,14810413457408.0
375,8.0,0.05,47785631711232.0
376,8.0,0.05,8855082328064.0
377,8.0,0.05,22417130766336.0
378,8.0,0.05,20233342140416.0
379,8.0,0.05,19320794185728.0
380,8.0,0.05,74483017023488.0
381,8.0,0.05,6175183634432.0
382,8.0,0.05,49416026103808.0
383,8.0,0.05,18928036052992.0
384,8.0,0.05,67808955752448.0
385,8.0,0.05,117447982284800.0
386,8.0,0.05,25074362875904.0
387,8.0,0.05,5318299852800.0
388,8.0,0.05,1770545012736.0
389,8.0,0.05,8090953867264.0
390,8.0,0.05,38953183559680.0
391,8.0,0.05,13884110897152.0
392,8.0,0.05,29041586831360.0
393,8.0,0.05,126203849482240.0
394,10.0,0.05,23314354103910.4
395,8.0,0.05,3129025355776.0
396,8.0,0.05,5801166036992.0
397,8.0,0.05,28575933939712.0
398,8.0,0.05,76671503204352.0
399,9.0,0.05,5801496222833.777
400,8.0,0.05,33574261055488.0
401,8.0,0.05,10047370625024.0
402,8.0,0.05,16243505291264.0
403,8.0,0.05,3345289068544.0
404,8.0,0.05,61205274607616.0
405,8.0,0.05,11275823611904.0
406,8.0,0.05,4812704980992.0
407,8.0,0.05,100856736882688.0
408,8.0,0.05,27174153191424.0
409,8.0,0.05,60654599847936.0
410,8.0,0.05,68733745922048.0
411,8.0,0.05,9563054530560.0
412,9.0,0.05,10735044577052.445
413,8.0,0.05,58185013305344.0
414,9.0,0.05,46550781962922.664
415,9.0,0.05,11144281442076.445
416,8.0,0.05,47965670834176.0
417,8.0,0.05,74132359331840.0
418,8.0,0.05,100924593233920.0
419,8.0,0.05,124202381180928.0
420,8.0,0.05,70232922390528.0
421,8.0,0.05,15346710855680.0
422,8.0,0.05,7337746284544.0
423,8.0,0.05,9972288176128.0
424,8.0,0.05,40094204272640.0
425,9.0,0.05,27957303559964.445
426,8.0,0.05,84044792119296.0
427,8.0,0.05,8372672856064.0
428,8.0,0.05,53834364846080.0
429,8.0,0.05,24453983518720.0
430,8.0,0.05,7556792541184.0
431,10.0,0.05,9040706994176.0
432,8.0,0.05,59545629327360.0
433,8.0,0.05,52832946978816.0
434,8.0,0.05,80891654012928.0
435,8.0,0.05,47545189269504.0
436,8.0,0.05,5431279321088.0
437,8.0,0.05,5890459656192.0
438,8.0,0.05,96857849708544.0
439,8.0,0.05,4458940440576.0
440,8.0,0.05,47468463046656.0
441,8.0,0.05,102491214626816.0
442,8.0,0.05,121761177665536.0
443,8.0,0.05,29103948414976.0
444,8.0,0.05,37311876595712.0
445,8.0,0.05,30811197358080.0
446,8.0,0.05,5111162052608.0
447,8.0,0.05,8303939624960.0
448,10.0,0.05,32514155112038.4
449,8.0,0.05,20813680312320.0
450,9.0,0.05,4366603532515.5557
451,9.0,0.05,11830020159715.555
452,9.0,0.05,23053797075626.668
453,11.0,0.05,66859921494388.37
454,500.0,0.05,34508363613208.574
455,500.0,0.05,43197051798552.58
456,500.0,0.05,76527843480174.6
457,500.0,0.05,129025451941691.39
458,11.0,0.05,76342073991912.73
459,11.0,0.05,337340404286929.44
460,11.0,0.05,10373517469882.182
461,11.0,0.05,40680439295627.63
462,11.0,0.05,51612414187333.82
463,12.0,0.05,23129836705109.332
464,12.0,0.05,29039027202730.668
465,13.0,0.05,301615877032408.6
466,12.0,0.05,202103579039061.34
467,13.0,0.05,36079589936836.92
468,16.0,0.05,136251452260352.0
469,13.0,0.05,55887808672059.08
470,13.0,0.05,302946119904334.75
471,15.0,0.05,129610975962726.4
472,37.0,0.05,36817564251108.33
473,15.0,0.05,81084823336823.47
474,13.0,0.05,287305836104152.6
475,13.0,0.05,274999163788681.84
476,15.0,0.05,26196667076881.066
477,37.0,0.05,301731728319571.0
478,35.0,0.05,131000022612611.66
479,194.0,0.05,155742483234984.9
480,36.0,0.05,138997527026801.78
481,38.0,0.05,238543552863824.84
482,72.0,0.05,223554993527921.78
483,76.0,0.05,55303310582191.16
484,75.0,0.05,388779438320735.56
485,73.0,0.05,148561280699013.25
486,133.0,0.05,152910907992048.6
487,130.0,0.05,147234139426500.94
488,127.0,0.05,453642347125042.4
489,107.0,0.05,127939678798742.73
490,95.0,0.05,288480843767549.3
491,65.0,0.05,236715223693091.44
492,121.0,0.05,306209090255135.75
493,113.0,0.05,328506699326237.44
494,83.0,0.05,103426629506455.12
495,88.0,0.05,269217422269719.28
496,58.0,0.05,52306300795798.07
497,154.0,0.05,306522782372850.7
498,101.0,0.05,34237319842663.92
499,36.0,0.05,15702186189710.223
500,38.0,0.05,265182851980880.84
