episode,reward,epsilon,loss
646,45.0,0.05,64207056164181.336
647,15.0,0.05,66892923111560.53
648,70.0,0.05,87699604249921.83
649,119.0,0.05,69016368538907.97
650,168.0,0.05,51749280284672.0
651,85.0,0.05,89150695936530.08
652,214.0,0.05,53711699190142.805
653,197.0,0.05,63783966478232.04
654,45.0,0.05,125831886760982.75
655,134.0,0.05,58174724945767.164
656,36.0,0.05,32746915565112.89
657,36.0,0.05,94590873953166.22
658,107.0,0.05,44802247206778.016
659,156.0,0.05,56256553734249.02
660,102.0,0.05,62411866929272.47
661,40.0,0.05,58614669449625.6
662,48.0,0.05,53548766437376.0
663,49.0,0.05,50431747258409.8
664,19.0,0.05,29723801440471.58
665,47.0,0.05,51895740831874.73
666,84.0,0.05,79346233110723.05
667,37.0,0.05,49118809990669.836
668,57.0,0.05,65867035999681.125
669,17.0,0.05,64601181828276.7
670,13.0,0.05,188553610365400.62
671,25.0,0.05,89905534405181.44
672,23.0,0.05,71353030336155.83
673,11.0,0.05,74565440855319.27
674,8.0,0.05,154500770234368.0
675,12.0,0.05,40157936025600.0
676,8.0,0.05,385120351125504.0
677,8.0,0.05,146991009103872.0
678,10.0,0.05,225892581926502.4
679,18.0,0.05,73366855998577.78
680,8.0,0.05,266890064691200.0
681,35.0,0.05,86317043694211.66
682,104.0,0.05,60033924377678.766
683,167.0,0.05,41669122592007.664
684,203.0,0.05,59688404861008.71
685,25.0,0.05,65238755065200.64
686,8.0,0.05,165329331093504.0
687,10.0,0.05,38954318535065.6
688,9.0,0.05,173515083874304.0
689,8.0,0.05,76109850607616.0
690,11.0,0.05,256017351740322.9
691,8.0,0.05,94987066671104.0
692,8.0,0.05,158473615540224.0
693,8.0,0.05,238892151865344.0
694,10.0,0.05,152625280660275.2
695,10.0,0.05,91148179813171.2
696,8.0,0.05,218668233326592.0
697,9.0,0.05,484112838805276.44
698,8.0,0.05,64118834462720.0
699,8.0,0.05,279221034024960.0
700,8.0,0.05,144661336293376.0
701,8.0,0.05,234259973636096.0
702,9.0,0.05,271778408912213.34
703,8.0,0.05,136132971724800.0
704,8.0,0.05,74003787153408.0
705,11.0,0.05,203463709330338.9
706,8.0,0.05,28946323341312.0
707,8.0,0.05,182851378610176.0
708,8.0,0.05,258877023322112.0
709,8.0,0.05,236556165054464.0
710,8.0,0.05,171738803470336.0
711,8.0,0.05,253514904764416.0
712,17.0,0.05,72413106066130.83
713,39.0,0.05,39505843991683.28
714,10.0,0.05,28433610571776.0
715,42.0,0.05,12328764414049.523
716,87.0,0.05,27127068524167.355
717,114.0,0.05,60891339595632.28
718,13.0,0.05,64003254931140.92
719,24.0,0.05,67309078571690.664
720,9.0,0.05,123964400016497.78
721,23.0,0.05,28051011272704.0
722,10.0,0.05,36085453894451.2
723,13.0,0.05,55499944543468.305
724,8.0,0.05,7685884575744.0
725,8.0,0.05,13906579685376.0
726,8.0,0.05,303906090123264.0
727,8.0,0.05,320203042324480.0
728,11.0,0.05,144733700715613.1
729,8.0,0.05,332047597699072.0
730,8.0,0.05,156173937147904.0
731,8.0,0.05,172668471214080.0
732,8.0,0.05,316681172549632.0
733,10.0,0.05,268314544072294.4
734,8.0,0.05,25880495128576.0
735,8.0,0.05,317223136657408.0
736,8.0,0.05,158600802861056.0
737,8.0,0.05,238896687742976.0
738,9.0,0.05,197312057791829.34
739,8.0,0.05,171019928436736.0
740,9.0,0.05,15122440534243.555
741,8.0,0.05,241656909660160.0
742,11.0,0.05,264437117937850.2
743,8.0,0.05,92680670806016.0
744,9.0,0.05,92311850232490.67
745,8.0,0.05,193022483496960.0
746,10.0,0.05,286389619340083.2
747,12.0,0.05,182615560071850.66
748,8.0,0.05,169766312738816.0
749,8.0,0.05,366845336485888.0
750,9.0,0.05,208095740137016.88
751,10.0,0.05,246048045190348.8
752,10.0,0.05,430033434941849.6
753,8.0,0.05,571827885703168.0
754,9.0,0.05,245489422070215.12
755,8.0,0.05,304348361916416.0
756,8.0,0.05,352422731972608.0
757,8.0,0.05,341763207331840.0
758,8.0,0.05,197804732710912.0
759,12.0,0.05,291019362926592.0
760,8.0,0.05,265338151436288.0
761,8.0,0.05,730782887116800.0
762,8.0,0.05,130915900784640.0
763,8.0,0.05,316347154432000.0
764,10.0,0.05,445408385119027.2
765,8.0,0.05,518612086030336.0
766,8.0,0.05,228351889309696.0
767,8.0,0.05,381555189088256.0
768,8.0,0.05,265586473959424.0
